MLB,Produto,Preco DE (R$),Preco POR (R$),% Queda MoM,GMV Abr,GMV Mai MTD,SIs Abr,SIs Mai MTD,Link
MLB1916675914,GUARDA ROUPA SOLTEIRO ROMA 2 PORTAS CORRER 2GAV C/ ESP,R$ 779.00,R$ 740.05,-84.8%,13913,1410,21,2,https://produto.mercadolivre.com.br/MLB-1916675914
MLB2665757200,"GABINETE DE PIA GEMEOS 2,00M BRANCO BRANCO",R$ 0.00,R$ 0.00,-74%,6723,1167,17,3,https://produto.mercadolivre.com.br/MLB-2665757200
MLB4649172892,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS LISBOA COM PÉS,R$ 0.00,"R$ 1,299.00",-73.4%,163312,28936,164,24,https://produto.mercadolivre.com.br/MLB-4649172892
MLB2070745134,"ARMÁRIO DE ESCRITÓRIO 2 PORTAS 5 PRATELEIRAS MELISSA 2,24M",R$ 0.00,R$ 649.00,-67.2%,5841,1279,9,2,https://produto.mercadolivre.com.br/MLB-2070745134
MLB4275496967,GUARDA ROUPA SOLTEIRO CAPRI 2 PORTAS 6 GAV C/ ESPELHO COR CH,R$ 702.90,R$ 702.90,-65.5%,28076,6460,44,10,https://produto.mercadolivre.com.br/MLB-4275496967
MLB5854619938,GUARDA ROUPA SOLTEIRO CAPRI 2 PORTAS 6 GAV COM ESPELHO COR T,R$ 799.00,R$ 702.90,-64.6%,39035,9215,61,14,https://produto.mercadolivre.com.br/MLB-5854619938
MLB3723421271,GUARDA ROUPA CASAL LISBOA 8 PORTAS 4 GAVS,"R$ 1,249.00","R$ 1,095.90",-62.5%,4043,1011,4,1,https://produto.mercadolivre.com.br/MLB-3723421271
MLB6449264012,"KIT 3 PRATELEIRAS FLUTUANTE 54,5 X 13CM SUPORTE INVISÍVEL ON",R$ 0.00,R$ 0.00,-61.8%,157,40,4,1,https://produto.mercadolivre.com.br/MLB-6449264012
MLB2665763568,"GABINETE DE PIA GEMEOS 2,00M BRANCO BRANCO",R$ 0.00,R$ 0.00,-58.9%,1821,499,4,1,https://produto.mercadolivre.com.br/MLB-2665763568
MLB1611084421,GUARDA ROUPA CASAL VALENCIA 6 PORTAS 6 GAVETAS COM ESPELHO,R$ 0.00,"R$ 1,689.00",-57.6%,218344,61686,152,40,https://produto.mercadolivre.com.br/MLB-1611084421
MLB4275496973,GUARDA ROUPA SOLTEIRO CAPRI 2 PORTAS 6 GAV COM ESPELHO COR C,R$ 702.90,R$ 702.90,-55.6%,13270,3926,21,6,https://produto.mercadolivre.com.br/MLB-4275496973
MLB3689108017,"ARMARIO MULTIUSO MIRIAM  2 PORTAS 1,85M",R$ 309.00,R$ 293.55,-53%,14153,4434,53,15,https://produto.mercadolivre.com.br/MLB-3689108017
MLB4447714093,COMODA 8 GAVETAS COM CHAVE QUARTO ORGANIZADORA FG TEKA/ONIX,R$ 473.74,R$ 473.74,-52.5%,1383,438,3,1,https://produto.mercadolivre.com.br/MLB-4447714093
MLB1610000435,"ARMARIO MULTIUSO MARCELA 2 PORTAS 1,40M",R$ 319.00,R$ 283.91,-51.2%,4947,1608,22,7,https://produto.mercadolivre.com.br/MLB-1610000435
MLB1611698308,BALCAO FRUTEIRA ISIS 2 PORTAS 1 GAVETA,R$ 339.00,R$ 283.20,-50.8%,2017,661,6,2,https://produto.mercadolivre.com.br/MLB-1611698308
MLB3286293161,GUARDA ROUPA CASAL CAPRI 3 PORTAS CORRER 9 GAV,R$ 999.00,R$ 949.05,-50.2%,2857,949,3,1,https://produto.mercadolivre.com.br/MLB-3286293161
MLB2647289242,COMODA 4 GAVETAS 2 PORTAS GISELE COM PÉS,R$ 379.00,R$ 324.90,-49.2%,150166,50899,529,168,https://produto.mercadolivre.com.br/MLB-2647289242
MLB6433888482,PRATELEIRA DE PAREDE FLUTUANTE COM SUPORTE INVISIVEL 60X20 T,R$ 0.00,R$ 16.99,-46.4%,238,85,14,5,https://produto.mercadolivre.com.br/MLB-6433888482
MLB5897281546,GUARDA ROUPA SOLTEIRO CAPRI 2 PORTAS 6 GAV C/ ESPELHO COR ON,R$ 799.00,R$ 776.90,-40.8%,98959,39048,143,55,https://produto.mercadolivre.com.br/MLB-5897281546
MLB2674344824,"ARMÁRIO DE ESCRITÓRIO MELISSA 2 PTS 2,24M BRANCO BRANCO",R$ 0.00,R$ 649.00,-40.4%,3136,1246,5,2,https://produto.mercadolivre.com.br/MLB-2674344824
MLB3723382307,GUARDA ROUPA CASAL LISBOA 6 PORTAS 2 GAVETAS,R$ 0.00,R$ 969.00,-39.3%,9578,3876,11,4,https://produto.mercadolivre.com.br/MLB-3723382307
MLB3287784769,GUARDA ROUPA CASAL CAPRI 3 PORTAS CORRER 9 GAV C/ ESPELHO,"R$ 1,099.00","R$ 1,080.90",-39.1%,166596,67627,176,65,https://produto.mercadolivre.com.br/MLB-3287784769
MLB1876162554,ARMÁRIO DE COZINHA COMPACTA LUA 4 PORTAS 2 GAVETAS,R$ 564.00,R$ 495.72,-38.3%,33909,13958,82,30,https://produto.mercadolivre.com.br/MLB-1876162554
MLB2601753304,"ARMARIO DE LAVANDERIA MANUELA 2 PTS 1,80M COM RODINHAS",R$ 0.00,R$ 379.00,-37.2%,7197,3013,20,8,https://produto.mercadolivre.com.br/MLB-2601753304
MLB6027553714,BALCÃO FRUTEIRA PAULA 1 PORTA 1 GAVETA BRANCO,R$ 0.00,R$ 291.01,-34.9%,8477,3677,34,15,https://produto.mercadolivre.com.br/MLB-6027553714
MLB2601727898,"ARMARIO LAVANDERIA MANUELA 2 PTS 1,80M COM RODINHAS",R$ 379.00,R$ 345.90,-30.3%,100633,46784,341,147,https://produto.mercadolivre.com.br/MLB-2601727898
MLB1611709557,"GABINETE DE PIA GEMEOS 1,20M",R$ 379.00,R$ 314.90,-29.7%,74480,34889,281,124,https://produto.mercadolivre.com.br/MLB-1611709557
MLB3677273995,GUARDA ROUPA CASAL LISBOA 6 PORTAS 2 GAVETAS COM PÉS,R$ 999.00,R$ 949.05,-28.8%,1998,949,2,1,https://produto.mercadolivre.com.br/MLB-3677273995
MLB2647321547,CÔMODA COM 5 GAVETAS E 2 PORTAS ISABELE,R$ 549.00,R$ 448.29,-27.8%,2226,1071,5,2,https://produto.mercadolivre.com.br/MLB-2647321547
MLB2601747271,"ARMARIO DE LAVANDERIA MELISSA 2 PORTAS 2,24M BRANCO",R$ 579.17,R$ 579.17,-27.2%,1158,562,2,1,https://produto.mercadolivre.com.br/MLB-2601747271
MLB3307187581,ARMÁRIO DE COZINHA ESTRELA 9 PORTAS 1 GAVETA COM BALCÃO,R$ 899.00,R$ 701.22,-26.1%,7738,3813,13,6,https://produto.mercadolivre.com.br/MLB-3307187581
MLB2665718191,"GABINETE DE PIA GEMEOS 2,00M BRANCO/PRETO BRANCO/PRETO",R$ 0.00,R$ 0.00,-25%,998,499,2,1,https://produto.mercadolivre.com.br/MLB-2665718191
